H1A,Montreal (Pointe-aux-Trembles)
H2A,Montreal (East Saint-Michel)
H3A,Montreal (North Downtown, McGill University)
H4A,Montreal (Northeast Notre-Dame-de-Grâce)
H5A,Montreal (Place Bonaventure)
H7A,Laval (East Duvernay)
H9A,Dollard-des-Ormeaux (Northwest)
H1B,Montréal-Est
H2B,Montreal (Sault-au-Récollet)
H3B,Montreal (East Downtown)
H4B,Montreal (Southwest Notre-Dame-de-Grâce)
H5B,Montreal (Complexe Desjardins)
H7B,Laval (Saint-François)
H9B,Dollard-des-Ormeaux (East)
H1C,Montreal (Northeast Rivière-des-Prairies)
H2C,Montreal (Central Ahuntsic)
H3C,Montreal (Griffintown, Includes Île Notre-Dame and Île Sainte-Hélène)
H4C,Montreal (Saint-Henri)
H7C,Laval (Saint-Vincent-de-Paul)
H9C,Montreal (Northeast L'Île-Bizard)
H1E,Montreal (Southwest Rivière-des-Prairies)
H2E,Montreal (Northeast Villeray)
H3E,Montreal (L'Île-Des-Soeurs)
H4E,Montreal (Ville Émard)
H7E,Laval (Duvernay)
H9E,Montreal (Southwest L'Île-Bizard)
H1G,Montreal (North Montréal-Nord)
H2G,Montreal (Northeast Petite-Patrie)
H3G,Montreal (Southeast Downtown, Concordia University)
H4G,Montreal (North Verdun)
H7G,Laval (Pont-Viau)
H9G,Dollard-des-Ormeaux (Southwest)
H1H,Montreal (South Montréal-Nord)
H2H,Montreal (North Plateau Mont-Royal)
H3H,Montreal (Southwest Downtown)
H4H,Montreal (South Verdun)
H7H,Laval (West Auteuil)
H9H,Montreal (Central Pierrefonds & Sainte-Geneviève)
H1J,Montreal (West Anjou)
H2J,Montreal (North Central Plateau Mont-Royal)
H3J,Montreal (Petite-Bourgogne)
H4J,Montreal (Central Cartierville)
H7J,Laval (Northeast Auteuil)
H9J,Kirkland (East)
H1K,Montreal (East Anjou)
H2K,Montreal (North Centre-Sud, Sainte-Marie)
H3K,Montreal (Pointe-Saint-Charles)
H4K,Montreal (Southwest Cartierville)
H7K,Laval (South Auteuil)
H9K,Montreal (West Pierrefonds) & Kirkland (West)
H1L,Montreal (North Mercier)
H2L,Montreal (South Centre-Sud, Le Village)
H3L,Montreal (Southwest Ahuntsic)
H4L,Montreal (Inner Northeast Saint-Laurent)
H7L,Laval (Sainte-Rose)
H1M,Montreal (West Mercier)
H2M,Montreal (East Ahuntsic)
H3M,Montreal (Northeast Cartierville)
H4M,Montreal (East Saint-Laurent)
H7M,Laval (Vimont)
H1N,Montreal (Southeast Mercier)
H2N,Montreal (Soueheast Ahuntsic)
H3N,Montreal (Parc-Extension)
H4N,Montreal (Outer Northeast Saint-Laurent)
H7N,Laval (Laval-des-Rapides)
H8N,Montreal (Northwest LaSalle)
H1P,Montreal (North Saint-Léonard)
H2P,Montreal (West Villeray)
H3P,Mount Royal (North)
H4P,Mount Royal (South)
H7P,Laval (Fabreville)
H8P,Montreal (Southeast LaSalle)
H9P,Dorval (Outskirts)
H1R,Montreal (West Saint-Léonard)
H2R,Montreal (Southeast Villeray)
H3R,Mount Royal (Central)
H4R,Montreal (Central Saint-Laurent)
H7R,Laval (Laval-sur-le-Lac)
H8R,Montreal (LaSalle and Ville Saint-Pierre)
H9R,Pointe-Claire (North Central)
H1S,Montreal (Southeast Saint-Léonard)
H2S,Montreal (Southwest Petite-Patrie)
H3S,Montreal (North Côte-des-Neiges)
H4S,Montreal (Southwest Saint-Laurent)
H7S,Laval (Northeast Chomedey)
H8S,Montreal (East Lachine)
H9S,Pointe-Claire, Dorval, L'Île-Dorval
H1T,Montreal (North Rosemont)
H2T,Montreal (West Plateau Mont-Royal)
H3T,Montreal (Northeast Côte-des-Neiges, Université de Montréal)
H4T,Montreal (Southeast Saint-Laurent)
H7T,Laval (Northwest Chomedey)
H8T,Montreal (West Lachine)
H1V,Montreal (Maisonneuve)
H2V,Montreal (Outremont)
H3V,Montreal (East Côte-des-Neiges)
H4V,Côte Saint-Luc (East)
H7V,Laval (East Chomedey)
H1W,Montreal (Hochelaga)
H2W,Montreal (South Central Plateau Mont-Royal)
H3W,Montreal (Southwest Côte-des-Neiges)
H4W,Côte Saint-Luc (West)
H7W,Laval (South Chomedey)
H9W,Beaconsfield
H1X,Montreal (Central Rosemont)
H2X,Montreal (Southeast Plateau Mont-Royal)
H3X,Hampstead & Montreal (West Snowdon & North Notre-Dame-de-Grâce)
H4X,Côte Saint-Luc, Montreal West
H7X,Laval (Sainte-Dorothée)
H9X,Sainte-Anne-de-Bellevue, Baie-D'Urfé, Senneville
H1Y,Montreal (South Rosemont)
H2Y,Montreal (South Old Montreal)
H3Y,Westmount (North)
H4Y,Dorval (Central, YUL)
H7Y,Laval (Îles-Laval)
H8Y,Montreal (Roxboro)
H1Z,Montreal (West Saint-Michel)
H2Z,Montreal (North Old Montreal & Southeast Downtown)
H3Z,Westmount (South)
H4Z,Montreal (Tour de la Bourse)
H8Z,Montreal (East Pierrefonds)
